CASO NÚMERO,ESTADO DEL CASO,COORDENADAS , EXHUMACION,ESTADO DEL PROCESO,DEPARTAMENTO,MUNICIPIO,LATITUD,LONGITUD,COORDENADAS
CIH-0013-15,CERRADO,"-74,8702778","7,48916667",IDENTIF_ENTREGADO,ANTIOQUIA,ZARAGOZA,7.48916667,-74.8702778,"7.48916667,-74.8702778"
CIH-0013-16,CERRADO,"-76,63338056","7,25825",IDENTIF_ENTREGADO,CHOCÓ,CARMEN DEL DARIEN,7.25825,-76.63338056,"7.25825,-76.63338056"
CIH-0013-17,CERRADO,"-75,9164167","6,80588889",MUESTRA,ANTIOQUIA,BURITICÁ,6.80588889,-75.9164167,"6.80588889,-75.9164167"
CIH-0014-14,PEND.RESULT.GENETICA,"-75,78777778","7,03",NO_IDENTIFICADO,ANTIOQUIA,SABANALARGA,7.03,-75.78777778,"7.03,-75.78777778"
CIH-0014-15,CERRADO,"-74,8702778 ","7,48916667",,ANTIOQUIA,ZARAGOZA,7.48916667,-74.8702778 ,"7.48916667,-74.8702778 "
CIH-0014-16,PEND.RESULT.GENETICA,"-75,8336111","7,69041667",NO_IDENTIFICADO,ANTIOQUIA,PEQUE,7.69041667,-75.8336111,"7.69041667,-75.8336111"
CIH-0014-17,CERRADO,"-75,9164167","6,80588889",IDENTIF_ENTREGADO,ANTIOQUIA,BURITICÁ,6.80588889,-75.9164167,"6.80588889,-75.9164167"
CIH-0015-14,CERRADO,"-75,78777778","7,03",NO_IDENTIFICADO,ANTIOQUIA,SABANALARGA,7.03,-75.78777778,"7.03,-75.78777778"
CIH-0015-15,CERRADO,"-74,7844444","7,72888889",IDENTIF_NO_ENTREGADO,ANTIOQUIA,CAUCASIA,7.72888889,-74.7844444,"7.72888889,-74.7844444"
CIH-0015-16,PEND.RESULT.GENETICA,"-75,8313583","7,690000583",NO_IDENTIFICADO,ANTIOQUIA,SABANALARGA,7.690000583,-75.8313583,"7.690000583,-75.8313583"
CIH-0015-17,CERRADO,"-75,9164167","6,80588889",NO_IDENTIF_EN_PROCES,ANTIOQUIA,BURITICÁ,6.80588889,-75.9164167,"6.80588889,-75.9164167"
CIH-0016-14,CERRADO,"-75,78777778","7,690000583",NO_IDENTIFICADO,ANTIOQUIA,SABANALARGA,7.690000583,-75.78777778,"7.690000583,-75.78777778"
CIH-0016-15,CERRADO,"-74,80611111","7,5975",IDENTIF_ENTREGADO,ANTIOQUIA,EL BAGRE,7.5975,-74.80611111,"7.5975,-74.80611111"
CIH-0016-16,PEND.RESULT.GENETICA,"-75,8313583","6,90133056",NO_IDENTIFICADO,ANTIOQUIA,SABANALARGA,6.90133056,-75.8313583,"6.90133056,-75.8313583"
CIH-0016-17,CERRADO,"-75,085","6,59488889",,ANTIOQUIA,AMALFI,6.59488889,-75.085,"6.59488889,-75.085"
CIH-0017-14,CERRADO,"-75,78777778","6,84833",IDENTIF_ENTREGADO,ANTIOQUIA,SABANALARGA,6.84833,-75.78777778,"6.84833,-75.78777778"
CIH-0017-15,CERRADO,"-74,7844444","7,72888889",IDENTIF_ENTREGADO,ANTIOQUIA,CAUCASIA,7.72888889,-74.7844444,"7.72888889,-74.7844444"
CIH-0017-16,CERRADO,"-75,8313583","6,90133056",IDENTIF_ENTREGADO,ANTIOQUIA,SABANALARGA,6.90133056,-75.8313583,"6.90133056,-75.8313583"
CIH-0017-17,PEND.RESULT.GENETICA,"-75,9052778","6,43722222",,ANTIOQUIA,MEDELLÍN,6.43722222,-75.9052778,"6.43722222,-75.9052778"
CIH-0018-14,CERRADO,"-75,40888889","6,104166667",,ANTIOQUIA,YARUMAL,6.104166667,-75.40888889,"6.104166667,-75.40888889"
CIH-0018-15,CERRADO,"-74,7844444 ","7,72888889",,ANTIOQUIA,CAUCASIA,7.72888889,-74.7844444 ,"7.72888889,-74.7844444 "
CIH-0018-16,PEND.RESULT.GENETICA,"-75,3392222","7,28175",NO_IDENTIFICADO,ANTIOQUIA,VALDIVIA,7.28175,-75.3392222,"7.28175,-75.3392222"
CIH-0018-17,PEND.RESULT.GENETICA,"-75,418","7,97711",IDENTIF_NO_ENTREGADO,CÓRDOBA,MONTELÍBANO,7.97711,-75.418,"7.97711,-75.418"
CIH-0019-14,CERRADO,"-74,94836111","6,310722222",NO_IDENTIFICADO,ANTIOQUIA,SAN RAFAEL,6.310722222,-74.94836111,"6.310722222,-74.94836111"
CIH-0019-15,CERRADO,"-75,3463889","7,57972222",IDENTIF_ENTREGADO,ANTIOQUIA,CÁCERES,7.57972222,-75.3463889,"7.57972222,-75.3463889"
